name,title,quote,date,context
Archimedes,Greek mathematician,"Do not disturb my circles!"" (Μή μου τοὺς κύκλους τάραττε!)",c. 212 BC,"to a Roman soldier who interrupted his geometric experiments during the capture of Syracuse, whereupon the soldier killed him"
Julius Caesar,"Roman dictator (15 March 44 BC), discovering that his stepson Brutus was among his murderers.","You too, my child?"" (Καὶ σὺ, τέκνον;)",,
Jesus,founder of Christianity,"It is finished."" (τετέλεσται.)",c. 33 AD,right before his death by crucifixion
Joseph Trumpeldor,Jewish Zionist activist,"Never mind, it is good to die for our country."" (""אין דבר, טוב למות בעד ארצנו"")",1 March 1920,after being mortally wounded at the Battle of Tel Hai
Stjepan Filipović,Yugoslav communist,"Death to fascism! Freedom to the people!"" (Smrt fašizmu, sloboda narodu!)",22 May 1942,seconds before execution by hanging
Todd Beamer,American passenger on United Airlines Flight 93,Are you guys ready? Let's roll.,11 September 2001,"signaling the start of the revolt against the flight's hijackers, resulting in the plane crashing in the ensuing struggle for the controls, killing all 44 aboard"
Eric Garner,American former horticulturist,I can't breathe.,17 July 2014,after being put in a chokehold by an arresting NYPD shortly before losing consciousness and dying
